,id,Адрес,Название отеля en,Общая оценка,Кол-во отзывов,Расположение,Номера,Цена/качество,Чистота,Обслуживание,Класс отеля,СТИЛЬ ОТЕЛЯ,"Языки, используемые в общении",Услуги и удобства в отеле,Оснащенность номера,Типы номеров,Название_отеля,Качество сна,adress_for_scrap,Широта,Долгота
201,201,"Akarca Sk.47, Стамбул 34430 Турция",The Central House Istanbul Galata,"4,5",27 отзывов,"4,3 из 5 кружков","3,7 из 5 кружков","4,2 из 5 кружков","5,0 из 5 кружков","4,5 из 5 кружков",,"['Вид на город', 'Бюджетный']","['Английский, Испанский']","['Бесплатный WiFi', 'Wi-Fi', 'Бар/лаунж', 'Услуги такси', 'Круглосуточная охрана', 'Хранение багажа', 'Круглосуточная работа стойки регистрации', 'Прачечная с самообслуживанием', 'Возможен завтрак', 'Завтрак по типу ""шведский стол""', 'Отель для некурящих', 'Общая зона для отдыха/просмотра ТВ']","['Кондиционер', 'Индивидуальные ванные комнаты', 'Ванна/душ', 'Фен']","['С видом на город', 'Номера для некурящих', 'Семейные номера']",202. The Central House Istanbul Galata,,"The Central House Istanbul Galata, Istanbul, Turkiye",41.0309444,28.971506481417677
202,202,"Koza Mahallesi 1638, Sokak No 4, Esenyurt Sokak No 4, Esenyurt, Стамбул 34538 Турция",Sheraton Istanbul Esenyurt,"4,5",70 отзывов,"4,1 из 5 кружков","4,4 из 5 кружков","4,3 из 5 кружков","4,5 из 5 кружков","4,2 из 5 кружков","4,0 из 5 звезд",['Роскошный'],"['Английский, Турецкий']","['Бесплатная парковка', 'Бесплатный WiFi', 'Фитнес-центр', 'Бассейн', 'Ресторан', 'Боулинг (не на территории отеля)', 'Ракетбол (не на территории отеля)', 'Детский бассейн', 'Станции зарядки электромобилей', 'Услуга парковки автомобиля сотрудником отеля', 'Wi-Fi', 'Раздевалки в фитнес- и спа-центрах', 'Персональный тренер', 'Сауна', 'Бассейн с красивым видом', 'Бассейн для взрослых', 'Крытый бассейн', 'Бассейн с подогревом', 'Бассейн с морской водой', 'Возможен завтрак', 'Завтрак по типу ""шведский стол""', 'Теннисный корт (не на территории отеля)', 'Высокие детские стульчики', 'Питомцы разрешены', 'Трансфер из/до аэропорта', 'Услуги такси', 'Бизнес-центр с Wi-Fi', 'Помещения для проведения конференций', 'Банкетный зал', 'Конференц-залы', 'Спа-комплекс', 'Массаж для двоих', 'Косметические процедуры для лица', 'Ванна для ног', 'Массаж стоп', 'Массаж всего тела', 'Хаммам', 'Массаж рук', 'Массаж головы', 'Термальная ванна', 'Фототерапия', 'Массаж', 'Массаж шеи', 'Парная', 'Круглосуточная охрана', 'Хранение багажа', 'Доступ к гостиной представительского класса', 'Зонт', 'Заезд круглосуточно', 'Круглосуточная работа стойки регистрации', 'Химчистка', 'Услуги прачечной', 'Услуги глажки']","['Шторы, блокирующие свет', 'Звукоизоляция номеров', 'Кондиционер', 'Письменный стол', 'Кофеварка/чайник', 'Кабельное или спутниковое ТВ', 'Удлиненные кровати', 'Биде', 'Купальные халаты', 'Уборка номеров', 'Имеются номера с сообщающимися комнатами', 'Обслуживание номеров', 'Сейф', 'Зона отдыха', 'Диван', 'Телефон', 'Шкаф для одежды/встроенный гардероб', 'Бутилированная вода', 'Напольная вешалка для одежды', 'Утюг', 'Сейф для ноутбука', 'Услуга побудки/будильник', 'Мини-бар', 'Электрический чайник', 'ТВ с плоским экраном', 'Диван-кровать', 'Ванна/душ', 'Бесплатные туалетные принадлежности', 'Фен']","['С видом на город', 'Вид на культурный объект', 'Люкс для новобрачных', 'Номера для некурящих', 'Номера-люксы', 'Семейные номера', 'Номера для курящих']",203. Sheraton Istanbul Esenyurt,,"Sheraton Istanbul Esenyurt, Istanbul, Turkiye",41.0566893,28.664463242042785
203,203,"Binbirdirek, Dizdariye Çeşmesi Sk. No:53, Стамбул 34122 Турция",Atlantis Royal Hotel,"4,5",128 отзывов,"3,9 из 5 кружков","3,2 из 5 кружков","3,3 из 5 кружков","3,9 из 5 кружков","3,3 из 5 кружков","3,0 из 5 звезд",,,"['Бесплатный WiFi', 'Интернет', 'Заезд круглосуточно']","['Кондиционер', 'Сейф', 'Телефон', 'Ванна/душ']",['Номера для некурящих'],204. Atlantis Royal Hotel,,"Atlantis Royal Hotel, Istanbul, Turkiye",41.006312,28.9709256
204,204,"Akbiyik Caddesi No. 40 Sultanahmet, Стамбул 34122 Турция",Senatus Hotel,"4,5",993 отзыва,"4,9 из 5 кружков","4,5 из 5 кружков","4,6 из 5 кружков","4,8 из 5 кружков","4,7 из 5 кружков","4,0 из 5 звезд","['Тихий', 'Современно']","['Английский, Арабский, Турецкий']","['Бесплатный WiFi', 'Бесплатный завтрак', 'Трансфер из/до аэропорта', 'Хранение багажа', 'Консьерж', 'Заезд круглосуточно', 'Круглосуточная работа стойки регистрации', 'Химчистка', 'Wi-Fi', 'Бар/лаунж', 'Ресторан', 'Возможен завтрак', 'Завтрак по типу ""шведский стол""', 'Буфет с детским меню', 'Меню для гостей, придерживающихся специальной диеты', 'Автобусный трансфер', 'Аренда автомобилей', 'Услуги такси', 'Отель для некурящих', 'Быстрая регистрация при заезде/выезде', 'Индивидуальная регистрация заезда/выезда', 'Услуги прачечной']","['Кондиционер', 'Обслуживание номеров', 'Сейф', 'Услуга побудки/будильник', 'Мини-бар', 'Холодильник', 'ТВ с плоским экраном']","['Номера для некурящих', 'Семейные номера']",205. Сенатус Отель,,"Senatus Hotel, Istanbul, Turkiye",41.0057936,28.9804289
205,205,"Hoca Paşa, Nöbethane Cd. No:18, Стамбул 34420 Турция",Ethnica Old City Hotel,"4,0",99 отзывов,"4,5 из 5 кружков","2,7 из 5 кружков","3,4 из 5 кружков","2,9 из 5 кружков","3,5 из 5 кружков","3,0 из 5 звезд","['С красивым видом', 'Расположение в центре']","['Английский, Арабский, Турецкий']","['Платная частная парковка поблизости', 'Бесплатный WiFi', 'Завтрак по типу ""шведский стол""', 'Трансфер из/до аэропорта', 'Бизнес-центр с Wi-Fi', 'Отель для некурящих', 'Химчистка', 'Услуги прачечной', 'Wi-Fi', 'Бесплатный приветственный чай', 'Автобусный трансфер']","['Кондиционер', 'Сейф', 'Ванна/душ', 'Бесплатные туалетные принадлежности']","['Номера для некурящих', 'Номера-люксы', 'Семейные номера']",206. Ethnica Old City Hotel,,"Ethnica Old City Hotel, Istanbul, Turkiye",,
206,206,"Muhurdar Fuat Sk. No.12 Osmanaga Mahallesi, Стамбул 34714 Турция",Parkhouse Hotel & Spa,"4,0",116 отзывов,"4,3 из 5 кружков","3,9 из 5 кружков","4,0 из 5 кружков","4,4 из 5 кружков","4,2 из 5 кружков","4,0 из 5 звезд",,"['Английский, Турецкий']","['Бесплатная парковка', 'Бесплатный WiFi', 'Сауна', 'Джакузи', 'Бесплатный завтрак', 'Бизнес-центр с Wi-Fi', 'Конференц-залы', 'Спа-комплекс', 'Платная частная парковка поблизости', 'Крытая автостоянка', 'Wi-Fi', 'Ресторан', 'Завтрак по типу ""шведский стол""', 'Меню для гостей, придерживающихся специальной диеты', 'Вино/шампанское', 'Хаммам', 'Хранение багажа', 'Консьерж', 'Обмен валюты', 'Отель для некурящих', 'Круглосуточная работа стойки регистрации', 'Быстрая регистрация при заезде/выезде', 'Индивидуальная регистрация заезда/выезда', 'Химчистка', 'Услуги прачечной', 'Прачечная с самообслуживанием', 'Услуги глажки']","['Кондиционер', 'Обслуживание номеров', 'Сейф', 'VIP-номера', 'Бутилированная вода', 'Мини-бар', 'Холодильник', 'ТВ с плоским экраном']","['Номера для некурящих', 'Номера-люксы']",207. Паркхаук Отель,,"Parkhouse Hotel & Spa, Istanbul, Turkiye",45.0174804,78.3895935
207,207,"Yenibosna Merkez, 29 Ekim Cd. No:9 Bahcelievler, Стамбул 34197 Турция",Gorrion Hotel Istanbul,"4,0",284 отзыва,"3,8 из 5 кружков","4,3 из 5 кружков","4,1 из 5 кружков","4,6 из 5 кружков","4,0 из 5 кружков","5,0 из 5 звезд",,['Турецкий'],"['Бесплатная парковка', 'Бесплатный WiFi', 'Фитнес-центр', 'Бассейн', 'Бесплатный завтрак', 'Трансфер из/до аэропорта', 'Бизнес-центр с Wi-Fi', 'Помещения для проведения конференций', 'Парковка', 'Wi-Fi', 'Крытый бассейн', 'Бар/лаунж', 'Ресторан', 'Возможен завтрак', 'Завтрак по типу ""шведский стол""', 'Автобусный трансфер', 'Банкетный зал', 'Конференц-залы', 'Спа-комплекс', 'Хранение багажа', 'Консьерж', 'Круглосуточная работа стойки регистрации', 'Химчистка', 'Услуги прачечной']","['Кондиционер', 'Уборка номеров', 'Обслуживание номеров', 'Сейф', 'Мини-бар', 'Холодильник', 'ТВ с плоским экраном']","['Номера для некурящих', 'Номера-люксы', 'Семейные номера', 'Номера для курящих']",208. Gorrion Hotel Istanbul,,"Gorrion Hotel Istanbul, Istanbul, Turkiye",41.0027946,28.8217
208,208,"Mahir İz Caddesi 32 Altunizade Uskudar, Стамбул 34662 Турция",Aspera Hotel Altunizade,"4,5",18 отзывов,"4,6 из 5 кружков",,"4,5 из 5 кружков","4,0 из 5 кружков","4,8 из 5 кружков","4,0 из 5 звезд",,,"['Парковка', 'Бесплатный WiFi', 'Фитнес-центр', 'Бассейн', 'Бесплатный завтрак', 'Трансфер из/до аэропорта', 'Бизнес-центр с Wi-Fi', 'Помещения для проведения конференций', 'Wi-Fi', 'Сауна', 'Джакузи', 'Ресторан', 'Возможен завтрак', 'Банкетный зал', 'Конференц-залы', 'Спа-комплекс', 'Хаммам', 'Круглосуточная охрана', 'Отель для некурящих', 'Заезд круглосуточно', 'Круглосуточная работа стойки регистрации', 'Химчистка', 'Услуги прачечной']","['Кондиционер', 'Обслуживание номеров', 'Сейф', 'Мини-бар']","['Номера для некурящих', 'Номера-люксы', 'Семейные номера', 'Номера для курящих']",209. Aspera Hotel Altunizade,"5,0 из 5 кружков","Aspera Hotel Altunizade, Istanbul, Turkiye",41.0219049,29.04511019706499
209,209,"Feridiye Cad. No:50, Стамбул 34437 Турция",Borancik Suit Hotel,"4,5",102 отзыва,"4,7 из 5 кружков","4,6 из 5 кружков","4,5 из 5 кружков","4,5 из 5 кружков","4,6 из 5 кружков","3,0 из 5 звезд","['Бюджетный', 'Классический']","['Русский, Английский, Французский, Арабский и еще 2']","['Станции зарядки электромобилей', 'Бесплатный WiFi', 'Бесплатный завтрак', 'Прокат велосипедов', 'Подходит для детей / семьи', 'Трансфер из/до аэропорта', 'Консьерж', 'Отель для некурящих', 'Платная общественная парковка поблизости', 'Крытая автостоянка', 'Wi-Fi', 'Завтрак по типу ""шведский стол""', 'Вино/шампанское', 'Автобусный трансфер', 'Аренда автомобилей', 'Общая зона для отдыха/просмотра ТВ', 'Круглосуточная работа стойки регистрации', 'Химчистка', 'Услуги прачечной', 'Стиральная машина', 'Услуги глажки', 'Чистка обуви']","['Звукоизоляция номеров', 'Кондиционер', 'Уборка номеров', 'Обслуживание номеров', 'Сейф', 'Мини-кухня', 'Холодильник', 'Ванна/душ', 'Бутилированная вода', 'Напольная вешалка для одежды', 'Бесплатные туалетные принадлежности', 'Фен']","['Номера для некурящих', 'Номера-люксы', 'Семейные номера']",210. Borancik Suit Hotel,,"Borancik Suit Hotel, Istanbul, Turkiye",,
210,210,"Büyükdere Cad. No. 177-183 Esentepe Mah., Стамбул 34394 Турция",Wyndham Grand İstanbul Levent Hotel & Conference Center,"4,5",1130 отзывов,"4,7 из 5 кружков","4,7 из 5 кружков","4,5 из 5 кружков","4,7 из 5 кружков","4,6 из 5 кружков","5,0 из 5 звезд","['Современно', 'Бизнес-класс']","['Английский, Турецкий']","['Парковка', 'Бесплатный WiFi', 'Фитнес-центр', 'Бассейн', 'Бесплатный завтрак', 'Бесплатное размещение для детей', 'Трансфер из/до аэропорта', 'Бизнес-центр с Wi-Fi', 'Wi-Fi', 'Раздевалки в фитнес- и спа-центрах', 'Сауна', 'Джакузи', 'Крытый бассейн', 'Открытый бассейн', 'Бассейн с подогревом', 'Бар/лаунж', 'Ресторан', 'Возможен завтрак', 'Завтрак по типу ""шведский стол""', 'Завтрак в номере', 'Аренда автомобилей', 'Услуги такси', 'Помещения для проведения конференций', 'Банкетный зал', 'Конференц-залы', 'Спа-комплекс', 'Хаммам', 'Массаж', 'Салон красоты', 'Парная', 'Круглосуточная охрана', 'Хранение багажа', 'Консьерж', 'Обмен валюты', 'Отель для некурящих', 'Швейцар', 'Заезд круглосуточно', 'Круглосуточная работа стойки регистрации', 'Химчистка', 'Услуги прачечной', 'Услуги глажки']","['Гипоаллергенный номер', 'Кондиционер', 'Обслуживание номеров', 'Сейф', 'VIP-номера', 'Мини-бар', 'Холодильник', 'ТВ с плоским экраном']","['Люкс для новобрачных', 'Номера для некурящих', 'Номера-люксы', 'Семейные номера', 'Номера для курящих']",211. Wyndham Grand İstanbul Levent Hotel & Conference Center,,"Wyndham Grand İstanbul Levent Hotel & Conference Center, Istanbul, Turkiye",41.0771363,29.0121645
211,211,"Saray Mahallesi Kucuksu Caddesi No: 64/A Umraniye, Стамбул 34768 Турция",Fraser Place Antasya Istanbul,"5,0",235 отзывов,"4,4 из 5 кружков","4,8 из 5 кружков","4,7 из 5 кружков","4,7 из 5 кружков","4,9 из 5 кружков","5,0 из 5 звезд","['Причудливые отели', 'Модный']","['Английский, Турецкий']","['Бесплатная парковка', 'Бесплатный WiFi', 'Фитнес-центр', 'Бассейн', 'Бар/лаунж', 'Бесплатное размещение для детей', 'Детская игровая площадка', 'Питомцы разрешены', 'Охраняемая парковка', 'Wi-Fi', 'Джакузи', 'Крытый бассейн', 'Бассейн с подогревом', 'Кафетерий', 'Ресторан', 'Возможен завтрак', 'Завтрак по типу ""шведский стол""', 'Подходит для детей / семьи', 'Детский клуб', 'Трансфер из/до аэропорта', 'Автобусный трансфер', 'Бизнес-центр с Wi-Fi', 'Помещения для проведения конференций', 'Конференц-залы', 'Спа-комплекс', 'Круглосуточная охрана', 'Хранение багажа', 'Консьерж', 'Газеты', 'Отель для некурящих', 'Аптечка', 'Заезд круглосуточно', 'Круглосуточная работа стойки регистрации', 'Быстрая регистрация при заезде/выезде', 'Химчистка', 'Услуги прачечной', 'Прачечная с самообслуживанием', 'Стиральная машина']","['Шторы, блокирующие свет', 'Звукоизоляция номеров', 'Кондиционер', 'Письменный стол', 'Обеденная зона', 'Мини-кухня', 'ТВ с плоским экраном', 'Ванна/душ', 'Купальные халаты', 'Уборка номеров', 'Обслуживание номеров', 'Сейф', 'Зона отдыха', 'Диван', 'Телефон', 'Шкаф для одежды/встроенный гардероб', 'Бутилированная вода', 'Утюг', 'Сейф для ноутбука', 'Индивидуальные ванные комнаты', 'Услуга побудки/будильник', 'Микроволновая печь', 'Холодильник', 'Кухонная плита', 'Электрический чайник', 'Кухонная утварь', 'Бесплатные туалетные принадлежности', 'Фен']","['С видом на горы', 'С видом на город', 'Номера для некурящих', 'Номера-люксы', 'Семейные номера', 'Номера для курящих']",212. Fraser Place Antasya Istanbul,,"Fraser Place Antasya Istanbul, Istanbul, Turkiye",,
212,212,"Mustafapasa Sokak No: 9, Стамбул 34122 Турция",GLK PREMIER Sea Mansion Suites & Spa - Special Class,"5,0",482 отзыва,"4,8 из 5 кружков","4,8 из 5 кружков","4,7 из 5 кружков","4,9 из 5 кружков","4,9 из 5 кружков","4,0 из 5 звезд","['Романтический', 'С видом на океан']","['Русский, Английский, Арабский, Турецкий']","['Бесплатная частная парковка поблизости', 'Бесплатный WiFi', 'Фитнес-центр', 'Бесплатный завтрак', 'Питомцы разрешены', 'Трансфер из/до аэропорта', 'Факс/копировальные услуги в бизнес-центре', 'Спа-комплекс', 'Платная частная парковка на территории', 'Парковка на улице', 'Wi-Fi', 'Раздевалки в фитнес- и спа-центрах', 'Сауна', 'Бар/лаунж', 'Возможен завтрак', 'Завтрак по типу ""шведский стол""', 'Завтрак в номере', 'Бесплатный растворимый кофе', 'Бесплатный приветственный чай', 'Бесплатный приветственный напиток', 'Вино/шампанское', 'Автобусный трансфер', 'Услуги такси', 'Хаммам', 'Массаж рук', 'Массаж головы', 'Массаж', 'Парная', 'Хранение багажа', 'Консьерж', 'Заезд круглосуточно', 'Круглосуточная работа стойки регистрации', 'Быстрая регистрация при заезде/выезде', 'Индивидуальная регистрация заезда/выезда', 'Машина для сушки белья', 'Химчистка', 'Услуги прачечной', 'Стиральная машина', 'Услуги глажки']","['Шторы, блокирующие свет', 'Звукоизоляция номеров', 'Кондиционер', 'Письменный стол', 'Мини-бар', 'Кабельное или спутниковое ТВ', 'Удлиненные кровати', 'Душевая кабина без поддона на полу', 'Очиститель воздуха', 'Купальные халаты', 'Уборка номеров', 'Имеются номера с сообщающимися комнатами', 'Отдельный балкон', 'Сейф', 'Диван', 'Телефон', 'Шкаф для одежды/встроенный гардероб', 'Бутилированная вода', 'Напольная вешалка для одежды', 'Сейф для ноутбука', 'Индивидуальные ванные комнаты', 'Услуга побудки/будильник', 'Холодильник', 'Электрический чайник', 'ТВ с плоским экраном', 'Радио', 'Диван-кровать', 'Джакузи', 'Ванна/душ', 'Бесплатные туалетные принадлежности', 'Фен']","['С видом на океан', 'С видом на город', 'Люкс для новобрачных', 'Номера для некурящих', 'Номера-люксы', 'Семейные номера']",213. GLK PREMIER Sea Mansion Suites & Spa - Special Class,,"GLK PREMIER Sea Mansion Suites & Spa - Special Class, Istanbul, Turkiye",,
213,213,"Rıhtım C. Recaizade S. 6, Стамбул 34000 Турция",My Dora Hotel,"4,5",357 отзывов,"4,4 из 5 кружков","4,1 из 5 кружков","4,3 из 5 кружков","4,7 из 5 кружков","4,4 из 5 кружков","3,0 из 5 звезд","['Модный', 'Тихий']","['Английский, Турецкий']","['Платная частная парковка поблизости', 'Бесплатный WiFi', 'Бесплатный завтрак', 'Бизнес-центр с Wi-Fi', 'Терраса на крыше', 'Хранение багажа', 'Заезд круглосуточно', 'Круглосуточная работа стойки регистрации', 'Wi-Fi', 'Возможен завтрак', 'Завтрак по типу ""шведский стол""', 'Бесплатный растворимый кофе', 'Бесплатный приветственный чай', 'Консьерж', 'Отель для некурящих', 'Аптечка']","['Кондиционер', 'Письменный стол', 'Сейф', 'Телефон', 'Мини-бар', 'ТВ с плоским экраном', 'Ванна/душ', 'Фен', 'Бутилированная вода']","['С видом на город', 'Номера для некурящих', 'Номера-люксы', 'Семейные номера']",214. Май Дора Отель,,"My Dora Hotel, Istanbul, Turkiye",,
214,214,"Professor Muammer Aksoy Caddesi No. 3, Стамбул 34020 Турция",Hampton by Hilton Istanbul Zeytinburnu,"4,5",423 отзыва,"4,4 из 5 кружков","4,6 из 5 кружков","4,5 из 5 кружков","4,8 из 5 кружков","4,5 из 5 кружков","2,5 из 5 звезд",['Современно'],"['Английский, Турецкий']","['Бесплатная парковка', 'Бесплатный WiFi', 'Фитнес-центр', 'Бесплатный завтрак', 'Конференц-залы', 'Хранение багажа', 'Отель для некурящих', 'Круглосуточная работа стойки регистрации', 'Парковка', 'Wi-Fi', 'Бар/лаунж', 'Ресторан', 'Возможен завтрак', 'Завтрак по типу ""шведский стол""', 'Химчистка', 'Услуги прачечной', 'Услуги глажки']","['Кондиционер', 'Сейф', 'ТВ с плоским экраном']","['Номера для некурящих', 'Семейные номера']",215. Hampton by Hilton Istanbul Zeytinburnu,,"Hampton by Hilton Istanbul Zeytinburnu, Istanbul, Turkiye",40.9933642,28.918701661623665
215,215,"Yildiz Posta Street No:29 Esentepe Sisli, Стамбул 34394 Турция",Point Hotel Barbaros,"4,0",621 отзыв,"3,9 из 5 кружков","4,4 из 5 кружков","4,1 из 5 кружков","4,5 из 5 кружков","4,3 из 5 кружков","5,0 из 5 звезд",['С красивым видом'],['Турецкий'],"['Бесплатный WiFi', 'Фитнес-центр', 'Крытый бассейн', 'Бар/лаунж', 'Трансфер из/до аэропорта', 'Бизнес-центр с Wi-Fi', 'Помещения для проведения конференций', 'Консьерж', 'Wi-Fi', 'Раздевалки в фитнес- и спа-центрах', 'Сауна', 'Ресторан', 'Завтрак по типу ""шведский стол""', 'Завтрак в номере', 'Банкетный зал', 'Конференц-залы', 'Швейцар', 'Круглосуточная работа стойки регистрации', 'Химчистка', 'Услуги прачечной']","['Кондиционер', 'Обслуживание номеров', 'Сейф', 'Мини-бар', 'ТВ с плоским экраном']","['Номера для некурящих', 'Номера-люксы']",216. Поинт Отель Барбарос,,"Point Hotel Barbaros, Istanbul, Turkiye",41.0641361,29.0106091
216,216,"Sehit Mustafa, Bozoklu Cad. No: 5/1 Kayasehir İs Ve Yasam Merkezi, Стамбул 34306 Турция",Hampton by Hilton Istanbul Kayasehir,"4,5",314 отзывов,"4,2 из 5 кружков","4,5 из 5 кружков","4,5 из 5 кружков","4,5 из 5 кружков","4,5 из 5 кружков","3,0 из 5 звезд",,"['Английский, Турецкий']","['Бесплатная парковка', 'Бесплатный WiFi', 'Фитнес-центр', 'Бесплатный завтрак', 'Трансфер из/до аэропорта', 'Конференц-залы', 'Хранение багажа', 'Магазин товаров первой необходимости', 'Крытая автостоянка', 'Wi-Fi', 'Бар/лаунж', 'Ресторан', 'Завтрак по типу ""шведский стол""', 'Детское меню', 'Буфет', 'Автобусный трансфер', 'Обмен валюты', 'Общая зона для отдыха/просмотра ТВ', 'Магазины', 'Круглосуточная работа стойки регистрации', 'Быстрая регистрация при заезде/выезде', 'Химчистка', 'Услуги прачечной', 'Прачечная с самообслуживанием', 'Услуги глажки']","['Звукоизоляция номеров', 'Письменный стол', 'Сейф', 'Бутилированная вода', 'Напольная вешалка для одежды', 'ТВ с плоским экраном', 'Ванна/душ', 'Бесплатные туалетные принадлежности', 'Утюг', 'Услуга побудки/будильник', 'Фен']","['Номера для некурящих', 'Семейные номера']",217. Hampton by Hilton Istanbul Kayasehir,,"Hampton by Hilton Istanbul Kayasehir, Istanbul, Turkiye",41.1073594,28.757052284753406
217,217,"Muhurdar Fuat Sk. No.12 Osmanaga Mahallesi, Стамбул 34714 Турция",Parkhouse Hotel & Spa,"4,0",116 отзывов,"4,3 из 5 кружков","3,9 из 5 кружков","4,0 из 5 кружков","4,4 из 5 кружков","4,2 из 5 кружков","4,0 из 5 звезд",,"['Английский, Турецкий']","['Бесплатная парковка', 'Бесплатный WiFi', 'Сауна', 'Джакузи', 'Бесплатный завтрак', 'Бизнес-центр с Wi-Fi', 'Конференц-залы', 'Спа-комплекс', 'Платная частная парковка поблизости', 'Крытая автостоянка', 'Wi-Fi', 'Ресторан', 'Завтрак по типу ""шведский стол""', 'Меню для гостей, придерживающихся специальной диеты', 'Вино/шампанское', 'Хаммам', 'Хранение багажа', 'Консьерж', 'Обмен валюты', 'Отель для некурящих', 'Круглосуточная работа стойки регистрации', 'Быстрая регистрация при заезде/выезде', 'Индивидуальная регистрация заезда/выезда', 'Химчистка', 'Услуги прачечной', 'Прачечная с самообслуживанием', 'Услуги глажки']","['Кондиционер', 'Обслуживание номеров', 'Сейф', 'VIP-номера', 'Бутилированная вода', 'Мини-бар', 'Холодильник', 'ТВ с плоским экраном']","['Номера для некурящих', 'Номера-люксы']",218. Паркхаук Отель,,"Parkhouse Hotel & Spa, Istanbul, Turkiye",45.0174804,78.3895935
218,218,"Hoca Paşa, Nöbethane Cd. No:18, Стамбул 34420 Турция",Ethnica Old City Hotel,"4,0",99 отзывов,"4,5 из 5 кружков","2,7 из 5 кружков","3,4 из 5 кружков","2,9 из 5 кружков","3,5 из 5 кружков","3,0 из 5 звезд","['С красивым видом', 'Расположение в центре']","['Английский, Арабский, Турецкий']","['Платная частная парковка поблизости', 'Бесплатный WiFi', 'Завтрак по типу ""шведский стол""', 'Трансфер из/до аэропорта', 'Бизнес-центр с Wi-Fi', 'Отель для некурящих', 'Химчистка', 'Услуги прачечной', 'Wi-Fi', 'Бесплатный приветственный чай', 'Автобусный трансфер']","['Кондиционер', 'Сейф', 'Ванна/душ', 'Бесплатные туалетные принадлежности']","['Номера для некурящих', 'Номера-люксы', 'Семейные номера']",219. Ethnica Old City Hotel,,"Ethnica Old City Hotel, Istanbul, Turkiye",,
219,219,"General Asim Gündüz Cad. No 98 Caferaga Mah., Стамбул 34710 Турция",Duck Hotel,"4,0",166 отзывов,"4,7 из 5 кружков","3,8 из 5 кружков","4,0 из 5 кружков","3,9 из 5 кружков","4,2 из 5 кружков",,,,[],[],[],220. Паша Отель,,"Duck Hotel, Istanbul, Turkiye",,
220,220,"Dereboyu Caddesi No:10, Стамбул 34347 Турция",Crowne Plaza Istanbul Ortakoy Bosphorus an IHG hotel,"5,0",154 отзыва,"5,0 из 5 кружков","4,7 из 5 кружков","4,7 из 5 кружков","4,6 из 5 кружков","4,8 из 5 кружков","5,0 из 5 звезд","['Вид на город', 'Очаровательный']","['Английский, Арабский, Турецкий']","['Услуга парковки автомобиля сотрудником отеля', 'Бесплатный WiFi', 'Фитнес-центр', 'Кафетерий', 'Питомцы разрешены', 'Трансфер из/до аэропорта', 'Помещения для проведения конференций', 'Конференц-залы', 'Платная частная парковка поблизости', 'Wi-Fi', 'Раздевалки в фитнес- и спа-центрах', 'Ресторан', 'Бар на крыше', 'Возможен завтрак', 'Завтрак по типу ""шведский стол""', 'Завтрак в номере', 'Бесплатный растворимый кофе', 'Бесплатный приветственный чай', 'Аренда автомобилей', 'Факс/копировальные услуги в бизнес-центре', 'Спа-комплекс', 'Массаж', 'Терраса на крыше', 'Круглосуточная охрана', 'Хранение багажа', 'Консьерж', 'Отель для некурящих', 'Швейцар', 'Медпункт', 'Круглосуточная работа стойки регистрации', 'Химчистка', 'Услуги прачечной']","['Шторы, блокирующие свет', 'Звукоизоляция номеров', 'Кондиционер', 'Уборка номеров', 'Имеются номера с сообщающимися комнатами', 'Мини-бар', 'Кабельное или спутниковое ТВ', 'Душевая кабина без поддона на полу', 'Купальные халаты', 'Обслуживание номеров', 'Сейф', 'Телефон', 'Шкаф для одежды/встроенный гардероб', 'Бутилированная вода', 'Напольная вешалка для одежды', 'Утюг', 'Сейф для ноутбука', 'Услуга побудки/будильник', 'Электрический чайник', 'ТВ с плоским экраном', 'Ванна/душ', 'Бесплатные туалетные принадлежности', 'Фен']","['С видом на город', 'Номера для некурящих', 'Номера-люксы', 'Семейные номера']",221. Crowne Plaza Istanbul Ortakoy Bosphorus an IHG hotel,,"Crowne Plaza Istanbul Ortakoy Bosphorus an IHG hotel, Istanbul, Turkiye",41.05184364222757,29.024240017022816
221,221,"Yerebatan Cad. No:37 Sultanahmet, Стамбул 34110 Турция",Adamar Hotel,"4,5",1824 отзыва,"5,0 из 5 кружков","4,2 из 5 кружков","4,6 из 5 кружков","4,7 из 5 кружков","4,8 из 5 кружков","4,0 из 5 звезд","['С красивым видом', 'По умеренной цене']","['Английский, Испанский, Арабский, Турецкий']","['Платная общественная парковка поблизости', 'Бесплатный WiFi', 'Бесплатный завтрак', 'Трансфер из/до аэропорта', 'Терраса на крыше', 'Хранение багажа', 'Круглосуточная работа стойки регистрации', 'Химчистка', 'Парковка', 'Wi-Fi', 'Бар/лаунж', 'Ресторан', 'Возможен завтрак', 'Завтрак по типу ""шведский стол""', 'Буфет с детским меню', 'Бар на крыше', 'Аренда автомобилей', 'Услуги такси', 'Консьерж', 'Отель для некурящих', 'Швейцар', 'Услуги прачечной', 'Услуги глажки']","['Кондиционер', 'Письменный стол', 'Обслуживание номеров', 'Сейф', 'Мини-бар', 'ТВ с плоским экраном', 'Ванна/душ', 'Бесплатные туалетные принадлежности', 'Телефон', 'Услуга побудки/будильник', 'Фен']","['Номера для некурящих', 'Семейные номера', 'Номера для курящих']",222. Адамар Отель,,"Adamar Hotel, Istanbul, Turkiye",41.0096533,28.9763901
